city,scenario,severity,run,avg_ratio,median_ratio,pct_disconnected,n_removed_edges,n_pairs
"Dallas, Texas, USA",Highway Flood,0.7,4,1.5043180433649483,1.2614217878130494,6.666666666666667,3434,30
"Dallas, Texas, USA",Targeted Attack (Top k%),0.3,0,5.0,5.0,100.0,25914,30
"Dallas, Texas, USA",Targeted Attack (Top k%),0.3,1,5.0,5.0,100.0,25914,30
"Dallas, Texas, USA",Targeted Attack (Top k%),0.3,2,5.0,5.0,100.0,25914,30
"Dallas, Texas, USA",Targeted Attack (Top k%),0.3,3,5.0,5.0,100.0,25914,30
"Dallas, Texas, USA",Targeted Attack (Top k%),0.3,4,5.0,5.0,100.0,25914,30
"Dallas, Texas, USA",Targeted Attack (Top k%),0.5,0,5.0,5.0,100.0,44510,30
"Dallas, Texas, USA",Targeted Attack (Top k%),0.5,1,5.0,5.0,100.0,44510,30
"Dallas, Texas, USA",Targeted Attack (Top k%),0.5,2,5.0,5.0,100.0,44510,30
"Dallas, Texas, USA",Targeted Attack (Top k%),0.5,3,5.0,5.0,100.0,44510,30
"Dallas, Texas, USA",Targeted Attack (Top k%),0.5,4,5.0,5.0,100.0,44510,30
"Dallas, Texas, USA",Targeted Attack (Top k%),0.7,0,5.0,5.0,100.0,63400,30
"Dallas, Texas, USA",Targeted Attack (Top k%),0.7,1,5.0,5.0,100.0,63400,30
"Dallas, Texas, USA",Targeted Attack (Top k%),0.7,2,5.0,5.0,100.0,63400,30
"Dallas, Texas, USA",Targeted Attack (Top k%),0.7,3,5.0,5.0,100.0,63400,30
"Dallas, Texas, USA",Targeted Attack (Top k%),0.7,4,5.0,5.0,100.0,63400,30
"Dallas, Texas, USA",Random Failure,0.3,0,4.891237075554012,5.0,96.66666666666667,27945,30
"Dallas, Texas, USA",Random Failure,0.3,1,4.89590018149452,5.0,96.66666666666667,27945,30
"Dallas, Texas, USA",Random Failure,0.3,2,5.0,5.0,100.0,27945,30
"Dallas, Texas, USA",Random Failure,0.3,3,4.9018490976853,5.0,96.66666666666667,27945,30
"Dallas, Texas, USA",Random Failure,0.3,4,5.0,5.0,100.0,27945,30
"Dallas, Texas, USA",Random Failure,0.5,0,5.0,5.0,100.0,46575,30
"Dallas, Texas, USA",Random Failure,0.5,1,5.0,5.0,100.0,46575,30
"Dallas, Texas, USA",Random Failure,0.5,2,5.0,5.0,100.0,46575,30
"Dallas, Texas, USA",Random Failure,0.5,3,5.0,5.0,100.0,46575,30
"Dallas, Texas, USA",Random Failure,0.5,4,5.0,5.0,100.0,46575,30
"Dallas, Texas, USA",Random Failure,0.7,0,5.0,5.0,100.0,65204,30
"Dallas, Texas, USA",Random Failure,0.7,1,5.0,5.0,100.0,65204,30
"Dallas, Texas, USA",Random Failure,0.7,2,5.0,5.0,100.0,65204,30
"Dallas, Texas, USA",Random Failure,0.7,3,5.0,5.0,100.0,65204,30
